Home Type,Address,City,State,Zip,Listing Price,Baths,Beds,SQFT,Year Built,Airbnb Cash on Cash
Single Family Residential,1704 West Park Avenue,Champaign,IL,61821,94900,1,2,704,,6.61954
Single Family Residential,407 LAUTERBUR Lane,Champaign,IL,61822,174800,3,3,1582,2007,9.91918
Single Family Residential,5013 Chestnut Grove Drive,Champaign,IL,61822,429900,3,3,2161,2017,2.6662
Condo/Coop,2408 WINDWARD Boulevard #207,Champaign,IL,61821,122500,2,2,1194,2000,2.77876
Single Family Residential,1724 Coronado Drive,Champaign,IL,61820,134900,3,3,1440,1952,13.5252
Single Family Residential,3205 Amy Drive,Champaign,IL,61822,159900,2,3,1544,1993,11.0651
Single Family Residential,2501 Woodridge Road,Champaign,IL,61822,269900,3,3,2335,1986,5.61764
Single Family Residential,2212 Roland Drive,Champaign,IL,61821,105000,1,3,1065,1959,18.006
Condo/Coop,406 North Prairie Street #1,Champaign,IL,61821,109900,1,2,1000,,1.59276
Single Family Residential,4807 Vahalla Drive,Champaign,IL,61822,469900,3,3,2128,2015,2.3073
Single Family Residential,505 South Prairie Street,Champaign,IL,61820,179900,2,4,2355,1883,4.71378
Single Family Residential,2109 Galen Drive,Champaign,IL,61821,234900,3,4,2330,1969,3.09263
Single Family Residential,3221 Nobel Drive,Champaign,IL,61822,139900,2,2,1267,2006,3.75085
Condo/Coop,1812 Lakeside Drive #C,Champaign,IL,61821,138000,2,2,1482,1988,3.34017
Single Family Residential,1203 Wilshire Court,Champaign,IL,61821,434900,3,3,3535,1999,2.61681
Townhouse,3338 Boulder Ridge Drive,Champaign,IL,61822,145000,2,2,1384,2006,3.47912
Single Family Residential,1219 Julie Drive,Champaign,IL,61821,140000,2,3,1701,1957,12.952
Single Family Residential,501 Crestwood Drive,Champaign,IL,61822,169900,2,3,1725,1997,10.2837
Single Family Residential,3729 BOULDER RIDGE Drive,Champaign,IL,61822,137000,2,2,998,2011,3.79674
Single Family Residential,501 South Westlawn Avenue,Champaign,IL,61821,167500,1,3,1628,1951,10.4627
Single Family Residential,606 Teal Cove Court,Champaign,IL,61821,139900,2,3,1365,1993,12.9628
Single Family Residential,616 SEDGEGRASS Drive #-,Champaign,IL,61822,245000,3,3,3993,2006,6.454
Condo/Coop,2155 Harbortown Circle #2155,Champaign,IL,61821,102900,2,2,1209,1983,3.83396
Single Family Residential,308 Doisy Lane,Champaign,IL,61822,258711,3,4,2208,2017,2.58913
Single Family Residential,2815 Cherry Hills Drive,Champaign,IL,61822,275000,3,4,2396,1990,2.28305
Single Family Residential,1902 Cypress Drive,Champaign,IL,61821,119000,1,3,1008,1957,15.6277
Single Family Residential,3619 Freedom Boulevard,Champaign,IL,61822,329000,3,4,2216,2017,1.53039
Single Family Residential,1709 Carolyn Drive,Champaign,IL,61821,105000,1,3,1073,1958,18.006
Single Family Residential,4210 Brittany Trail Drive,Champaign,IL,61822,597000,3,4,3628,2000,-0.22409
Single Family Residential,1412 West William Street,Champaign,IL,61821,94900,2,3,2400,1968,20.1575
Condo/Coop,3801 Clubhouse Drive #303,Champaign,IL,61822,169900,2,3,1519,1998,8.38141
Single Family Residential,910 West Charles Street,Champaign,IL,61821,137900,2,3,1320,1929,13.1829
Condo/Coop,808 West PARK Avenue #9,Champaign,IL,61820,139900,1,2,1380,1928,0.777298
Single Family Residential,1914 Lynwood Drive,Champaign,IL,61821,162900,2,3,1436,1958,10.8206
Single Family Residential,1114 West Washington Street,Champaign,IL,61821,140000,1,3,1231,1955,12.952
Single Family Residential,1611 Eagle Road,Champaign,IL,61822,349900,3,3,2782,2017,3.80652
