Home Type,Address,City,State,Zip,Listing Price,Baths,Beds,SQFT,Year Built,Airbnb Cash on Cash
Single Family Residential,201 West William Street,Champaign,IL,61820,140000,2,3,1339,1906,12.952
Single Family Residential,1108 West Springfield Avenue,Champaign,IL,61821,114000,2,3,1131,1948,16.41
Single Family Residential,1103 English Oak Drive,Champaign,IL,61822,414900,3,4,3595,2016,0.792141
Single Family Residential,3216 West John Street,Champaign,IL,61821,114900,1,3,1080,1987,16.2642
Townhouse,28 Fields East #0,Champaign,IL,61822,219500,3,2,2396,2003,0.650697
Single Family Residential,1603 Sandcherry Court,Champaign,IL,61822,434900,5,4,3630,2017,0.65408
Single Family Residential,811 Hamilton Drive,Champaign,IL,61820,399900,4,3,2527,,3.09803
Single Family Residential,1818 Benodot Street,Champaign,IL,61822,385000,4,4,3066,2005,0.99932
Single Family Residential,2601 Wedgewood Drive,Champaign,IL,61822,235000,3,4,3066,1992,3.04782
Single Family Residential,811 Ayrshire Drive,Champaign,IL,61820,233500,3,3,3196,1975,6.88071
Single Family Residential,3301 Sandhill Lane,Champaign,IL,61822,332500,4,4,3725,2002,1.49102
Single Family Residential,803 La Sell Drive,Champaign,IL,61820,145900,2,3,1756,,12.3389
Single Family Residential,700 Dover Place,Champaign,IL,61820,127000,2,4,1819,1951,7.59778
Single Family Residential,1523 HARRINGTON Drive,Champaign,IL,61821,209900,3,4,2229,,3.7242
Condo/Coop,1 East MAIN Street #422,Champaign,IL,61820,315000,3,3,1950,2004,3.13438
Condo/Coop,2404 Windward Boulevard #104,Champaign,IL,61821,114900,2,2,1152,2001,3.51605
Single Family Residential,612 South Russell Street,Champaign,IL,61821,159900,1,3,1330,1940,11.0651
Single Family Residential,1406 South Western Avenue,Champaign,IL,61821,119900,2,3,1107,1953,15.4938
Single Family Residential,704 West Columbia Avenue,Champaign,IL,61820,152900,2,4,1447,2003,5.93642
Single Family Residential,2513 Crystal Tree Drive,Champaign,IL,61822,298000,4,4,2662,2002,1.94466
Single Family Residential,2303 Galen Drive,Champaign,IL,61821,234900,3,4,2175,1973,3.09263
Single Family Residential,3908 Rockdale Drive,Champaign,IL,61822,242900,3,3,2554,2006,6.52891
Single Family Residential,2803 Carrelton Drive,Champaign,IL,61821,119500,1,3,1225,1964,15.553
Single Family Residential,3905 Clubhouse Drive,Champaign,IL,61822,350000,3,4,5845,1970,1.34168
Condo/Coop,2557 CLAYTON Boulevard #0,Champaign,IL,61822,105000,2,3,1226,1986,16.6917
Single Family Residential,21 Greencroft Drive,Champaign,IL,61821,475000,3,4,3527,1948,0.412291
Single Family Residential,1321 West Ridge Lane,Champaign,IL,61822,200000,3,3,1420,2005,8.3334
Single Family Residential,709 Erin Drive,Champaign,IL,61822,149500,2,3,1360,1998,11.9885
Single Family Residential,1718 Georgetown Drive,Champaign,IL,61821,205000,3,4,2538,1970,3.86604
